,0
0,8270
1,491650
2,516230
3,8350
4,8360
5,8370
6,8380
7,428750
8,246070
9,246090
10,350810
11,24980
12,61510
13,16810
14,238090
15,550
16,6920
17,279990
18,322330
19,344750
20,377680
21,492370
22,379720
23,448000
24,446640
25,508990
26,337000
27,427250
28,311560
29,67000
30,263740
31,312960
32,263980
33,293860
34,509840
35,42910
36,436140
37,92100
38,346140
39,460890
40,247910
41,329950
42,321920
43,403850
44,412150
45,485920
46,223850
47,428830
48,265000
49,289600
50,461640
51,420740
52,289690
53,486340
54,281640
55,224300
56,330830
57,249050
58,470240
59,3340
60,11590
61,314700
62,462370
63,339510
64,355920
65,454230
66,44310
67,3830
68,388870
69,487330
70,438180
71,331710
72,262830
73,464960
74,405720
75,356570
76,233700
77,94500
78,94510
79,94520
80,94530
81,373110
82,254700
83,94610
84,219740
85,12710
86,12770
87,31250
88,201290
89,234140
90,463710
91,496500
92,242550
93,200170
94,3990
95,349220
96,357460
97,324760
98,365770
99,3620
100,338130
101,242960
102,423230
103,406940
104,447970
105,261720
106,390730
107,333390
108,439920
109,366260
110,313630
111,399140
112,464760
113,407420
114,317380
115,448560
116,391220
117,383030
118,407730
119,407740
120,265930
121,386080
122,407750
123,366890
124,416080
125,285010
126,383330
127,473450
128,473470
129,407980
130,489910
131,473580
132,31230
133,31240
134,473630
135,473650
136,375460
137,473810
138,285500
139,285520
140,359260
141,392050
142,31220
143,327500
144,351240
145,15380
146,412170
147,310360
148,449630
149,473620
150,31260
151,457930
152,457940
153,315260
154,473640
155,425210
156,220440
157,400740
158,287220
159,392870
160,410910
161,403980
162,491250
163,349500
164,248470
165,8170
